   N      Area  95 CI
----  --------  ------------------------------------------
 100  0.782178  [0.76452394083113551, 0.79983249481242891]
 200  0.751244  [0.73275433748663987, 0.7697332247024149]
 300  0.803987  [0.78700765197292, 0.8209657699539904]
 400  0.793017  [0.77568920825342802, 0.8103457044647765]
 500  0.782435  [0.76478836968457053, 0.80008188979646744]
 600  0.800333  [0.78323518024956096, 0.81743037715476508]
 700  0.774608  [0.75673637369207025, 0.792479032869984]
 800  0.797753  [0.78057286101746826, 0.81493275696005973]
 900  0.792453  [0.7751071417183889, 0.80979851865896968]
1000  0.752248  [0.73378333204460722, 0.77071217245089718]
1100  0.804723  [0.78776808054398806, 0.82167787767581213]
1200  0.810158  [0.79338456372439103, 0.82693183927311109]
1300  0.775557  [0.7577126916286816, 0.79340183565802103]
1400  0.757316  [0.73898016729428451, 0.77565223813041217]
1500  0.781479  [0.76380432992014025, 0.79915369806120551]
1600  0.786384  [0.76885354687373331, 0.80391347373838407]
1700  0.78836   [0.77088919120414279, 0.80583038551543396]
1800  0.789006  [0.77155505829654725, 0.80645715713932165]
1900  0.772751  [0.75482792055057657, 0.7906744466245943]
2000  0.769615  [0.75160533980064825, 0.78762504500694785]
